X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,LABEL_NAME,DATELASTMODIFIED
-77.0647956,38.90955581,85,nhood_058,Georgetown,http://NeighborhoodAction.dc.gov,Georgetown,2003-04-10T00:00:00.000Z
-77.07456576,38.91500299,86,nhood_017,Burleith/Hillandale,http://NeighborhoodAction.dc.gov,Burleith/Hillandale,2003-04-10T00:00:00.000Z
-77.02031687,38.88501657,87,nhood_112,Southwest Employment Area,http://NeighborhoodAction.dc.gov,Southwest Employment Area,2003-04-10T00:00:00.000Z
-77.01690296,38.87790836,88,nhood_113,Southwest/Waterfront,http://NeighborhoodAction.dc.gov,Southwest/Waterfront,2003-04-10T00:00:00.000Z
-77.01142455,38.86830012,89,nhood_019,Buzzard Point,http://NeighborhoodAction.dc.gov,Buzzard Point,2003-04-10T00:00:00.000Z
-77.0164381,38.86694332,90,nhood_049,Fort McNair,http://NeighborhoodAction.dc.gov,Fort McNair,2003-04-10T00:00:00.000Z
-77.06647761,38.96314647,91,nhood_027,Chevy Chase,http://NeighborhoodAction.dc.gov,Chevy Chase,2003-04-10T00:00:00.000Z
-77.08385441,38.95690678,92,nhood_054,Friendship Heights,http://NeighborhoodAction.dc.gov,Friendship Heights,2003-04-10T00:00:00.000Z
-77.07177356,38.94787867,93,nhood_096,North Cleveland Park,http://NeighborhoodAction.dc.gov,North Cleveland Park,2003-04-10T00:00:00.000Z
-77.08016309,38.9471274,94,nhood_117,Tenleytown,http://NeighborhoodAction.dc.gov,Tenleytown,2003-04-10T00:00:00.000Z
-77.09024957,38.94761164,95,nhood_002,American University Park,http://NeighborhoodAction.dc.gov,American University Park,2003-04-10T00:00:00.000Z
-77.09672424,38.93931138,96,nhood_114,Spring Valley,http://NeighborhoodAction.dc.gov,Spring Valley,2003-04-10T00:00:00.000Z
-77.07986043,38.93427242,97,nhood_025,Cathedral Heights,http://NeighborhoodAction.dc.gov,Cathedral Heights,2003-04-10T00:00:00.000Z
-77.07529572,38.93615125,98,nhood_085,McLean Gardens,http://NeighborhoodAction.dc.gov,McLean Gardens,2003-04-10T00:00:00.000Z
-77.06440174,38.93609787,99,nhood_028,Cleveland Park,http://NeighborhoodAction.dc.gov,Cleveland Park,2003-04-10T00:00:00.000Z
-77.05748295,38.92726532,100,nhood_128,Woodley Park,http://NeighborhoodAction.dc.gov,Woodley Park,2003-04-10T00:00:00.000Z
-77.07573752,38.92153082,101,nhood_060,Glover Park,http://NeighborhoodAction.dc.gov,Glover Park,2003-04-10T00:00:00.000Z
-77.08832491,38.92998082,102,nhood_124,Wesley Heights,http://NeighborhoodAction.dc.gov,Wesley Heights,2003-04-10T00:00:00.000Z
-77.09276674,38.9204865,103,nhood_052,Foxhall Crescents,http://NeighborhoodAction.dc.gov,Foxhall Crescents,2003-04-10T00:00:00.000Z
-77.10352038,38.92980767,104,nhood_099,Palisades,http://NeighborhoodAction.dc.gov,Palisades,2003-04-10T00:00:00.000Z
-77.05119471,38.91566044,105,nhood_070,Kalorama Heights,http://NeighborhoodAction.dc.gov,Kalorama Heights,2003-04-10T00:00:00.000Z
-77.04239111,38.9204722,106,nhood_001,Adams Morgan,http://NeighborhoodAction.dc.gov,Adams Morgan,2003-04-10T00:00:00.000Z
-77.0409837,38.9121281,107,nhood_037,Dupont Circle,http://NeighborhoodAction.dc.gov,Dupont Circle,2003-04-10T00:00:00.000Z
-77.04269355,38.92524883,108,nhood_076,Lanier Heights,http://NeighborhoodAction.dc.gov,Lanier Heights,2003-04-10T00:00:00.000Z
-77.04065589,38.93174149,109,nhood_088,Mount Pleasant,http://NeighborhoodAction.dc.gov,Mount Pleasant,2003-04-10T00:00:00.000Z
-77.02144427,38.93460426,110,nhood_100,Park View,http://NeighborhoodAction.dc.gov,Park View,2003-04-10T00:00:00.000Z
-77.01760455,38.9168316,111,nhood_077,Le Droit Park,http://NeighborhoodAction.dc.gov,Le Droit Park,2003-04-10T00:00:00.000Z
-77.01961027,38.92235482,112,nhood_068,Howard University,http://NeighborhoodAction.dc.gov,Howard University,2003-04-10T00:00:00.000Z
-76.99973389,38.90237479,113,nhood_093,Near Northeast,http://NeighborhoodAction.dc.gov,Near Northeast,2003-04-10T00:00:00.000Z
-76.99424171,38.89489782,114,nhood_115,Stanton Park,http://NeighborhoodAction.dc.gov,Stanton Park,2003-04-10T00:00:00.000Z
-76.97843658,38.89488657,115,nhood_072,Kingman Park,http://NeighborhoodAction.dc.gov,Kingman Park,2003-04-10T00:00:00.000Z
-76.97995066,38.88333,116,nhood_079,Hill East,http://NeighborhoodAction.dc.gov,Hill East,2003-04-10T00:00:00.000Z
-76.99846165,38.87426841,117,nhood_091,Navy Yard,http://NeighborhoodAction.dc.gov,Navy Yard,2003-04-10T00:00:00.000Z
-76.95129459,38.90111564,118,nhood_084,Mayfair,http://NeighborhoodAction.dc.gov,Mayfair,2003-04-10T00:00:00.000Z
-76.95768066,38.89370455,119,nhood_108,River Terrace,http://NeighborhoodAction.dc.gov,River Terrace,2003-04-10T00:00:00.000Z
-76.92180247,38.90024299,120,nhood_018,Burrville,http://NeighborhoodAction.dc.gov,Burrville,2003-04-10T00:00:00.000Z
-76.91738943,38.89545082,121,nhood_090,NE Boundary,http://NeighborhoodAction.dc.gov,NE Boundary,2003-04-10T00:00:00.000Z
