OBJECTID,TRACT,GEOID,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
149,9807,11001009807,256.6267697,0.40097933,5057.760632,1038531.697,49300774.86,31540.43,50089141,29196,50160528,29574.5,51025204,29638,52225202,28837,55085531,30509
150,9810,11001009810,101.9167672,0.15924495,2811.707456,412442.5261,20731641,22114,23630871,20845,22087145,21242,22667655,21012.5,23590181.04,22107,25212674,21337
151,10500,11001010500,185.9731461,0.29058304,3700.255222,752606.625,84029289,45706.5,112250955,52096,98303018,48448,105746983,51276.5,106072495,52567,124766159,56785
152,10600,11001010600,305.5641749,0.47744403,5269.162516,1236574.351,121226133,46770,256230114,55071.5,161447062,51645,209503581,53822,231914897.6,55353,313701867,58798.5
153,10700,11001010700,220.2939869,0.34420936,3825.465074,891498.1408,76742725,55538.5,121704083,63057,65155219,58724,148356514,60245,131895201,71866,156457298,72231
154,10800,11001010800,163.4646381,0.2554135,3482.465158,661517.9245,23332003.5,39566,35939787,42735,33571416,40108,44924794,39390,33640053,41873,38436301,47991.5
155,10900,11001010900,1313.082864,2.05169199,11812.015,5313857.851,21483928,21961,25597789,20753.5,23779752,21350,25906312,20502,27129325,20661,27893573,21980
156,11000,11001011000,254.1223879,0.39706623,5794.137106,1028396.824,142255206,61476,159856545,66090,159085656,61805,167859350,64116,173116968.4,67450,184361322,70438.5
157,11100,11001011100,1497.651271,2.34008013,13673.10714,6060779.699,101111776,40473,108672370,40625.5,99900451,40198,104974019,41009,115762533,41166,122414153,42315
158,9301,11001009301,272.1330731,0.42520793,4589.378118,1101283.481,80177844.52,46848,96067410,47415,89517062,46693,96422375.11,47221,116557623,54943,124565445,57282.5
